ID  ? t  f
4695 1 5 0
4696 0 1 4
4697 0 2 3
4698 0 2 3
4699 0 0 5
4700 1 3 2
4701 1 5 0
4702 0 0 5
4703 1 5 0
4704 1 5 0
4705 1 4 1
4706 0 1 4
4707 1 5 0
4708 1 5 0
4709 1 6 0
4710 1 5 0
4711 1 6 0
4712 0 2 3
4713 1 5 0
4714 0 1 4
4715 1 6 0
4716 0 2 3
4717 1 5 0
4718 0 0 5
4719 0 1 3
4720 0 0 5
4721 0 1 4
4722 0 2 3
4723 1 5 0
4724 0 1 4
4725 0 0 5
4726 1 5 0
4727 1 5 0
4728 0 1 4
4729 1 5 0
4730 0 0 5
4731 0 2 3
4732 0 2 3
4733 1 4 2
4734 0 1 4
4735 1 4 2
4736 1 5 0
4737 1 5 0
4738 0 1 4
4739 0 0 5
4740 0 1 4
4741 0 2 3
4742 1 5 0
4743 0 0 5
4744 1 4 1
4745 1 4 1
4746 1 5 0
4747 1 5 0
4748 1 5 0
4749 1 5 0
4750 1 6 0
4751 1 5 0
4752 1 5 0
4753 0 1 4
4754 1 5 0
4755 1 5 0
4756 0 1 5
4757 0 0 5
4758 0 2 3
4759 0 1 4
4760 0 0 5
4761 1 5 0
4762 1 5 0
4763 0 0 6
4764 1 5 0
4765 0 0 5
4766 1 5 0
4767 1 5 0
4768 1 6 0
4769 0 0 5
4770 1 5 0
4771 0 1 4
4772 1 5 0
4773 1 5 0
4774 0 0 5
4775 0 0 5
4776 1 6 0
4777 1 5 0
4778 1 5 0
4779 1 5 0
4780 0 0 5
4781 1 5 1
4782 0 0 5
4783 1 3 2
4784 0 2 3
4785 1 5 0
4786 1 5 0
4787 1 5 0
4788 1 5 0
4789 1 5 0
4790 0 2 3
4791 0 2 3
4792 1 5 0
4793 0 2 3
4794 1 5 0
4795 1 4 1
4796 1 5 0
4797 1 5 0
4798 0 1 4
4799 1 5 0
4800 0 2 3
4801 0 0 5
4802 1 4 1
4803 1 6 0
4804 1 5 0
4805 1 4 1
4806 1 5 0
4807 1 5 0
4808 0 0 5
4809 1 4 1
4810 1 5 0
4811 1 5 0
4812 0 1 4
4813 0 2 3
4814 1 3 2
4815 1 5 0
4816 0 0 5
4817 0 2 3
4818 1 5 0
4819 1 5 1
4820 0 0 5
4821 1 5 0
4822 0 0 5
4823 1 5 0
4824 1 5 0
4825 1 6 0
4826 1 6 0
4827 1 4 2
4828 1 3 2
4829 0 2 3
4830 1 5 0
4831 1 5 0
4832 1 4 1
4833 1 6 0
4834 0 1 4
4835 1 5 0
4836 0 0 5
4837 1 5 0
4838 1 5 0
4839 0 0 6
4840 1 5 0
4841 1 5 0
4842 0 2 3
4843 1 3 2
4844 1 5 0
4845 1 5 0
4846 1 5 0
4847 1 5 0
4848 0 2 3
4849 0 2 3
4850 1 5 0
4851 0 1 4
4852 1 5 0
4853 1 6 0
4854 1 5 0
4855 1 5 0
4856 1 4 1
4857 1 5 0
4858 0 0 5
4859 1 5 0
4860 0 0 5
4861 1 5 0
4862 1 5 0
4863 1 5 0
4864 1 5 0
4865 0 0 5
4866 1 5 0
4867 0 0 5
4868 1 5 0
4869 0 1 4
4870 1 5 0
4871 0 1 4
4872 1 5 0
4873 1 5 0
4874 1 6 0
4875 0 2 3
4876 1 5 0
4877 0 1 4
4878 1 5 0
4879 1 5 0
4880 1 5 0
4881 1 6 0
4882 0 0 5
4883 0 2 3
4884 0 1 4
4885 1 6 0
4886 0 1 5
4887 0 1 5
4888 1 5 0
4889 1 5 0
4890 0 1 4
4891 1 5 0
4892 0.5 3 3
4893 1 4 1
4894 0 2 5
4895 1 5 0
4896 1 5 0
4897 1 3 1
4898 0 0 5
4899 0.5 2 2
4900 1 5 0
4901 1 6 0
4902 1 5 0
4903 0 1 4
4904 1 5 0
4905 0 0 5
4906 1 5 0
4907 1 5 0
4908 1 5 0
4909 1 5 0
4910 1 5 0
4911 0 1 4
4912 1 5 0
4913 1 5 0
4914 1 5 0
4915 0 0 5
4916 1 5 0
4917 0 0 5
4918 1 5 0
4919 1 3 2
4920 0 1 4
4921 1 5 0
4922 1 5 0
4923 0.5 3 3
4924 1 4 1
4925 0 0 5
4926 1 3 2
4927 0 2 3
4928 0 1 4
4929 1 4 1
4930 0 0 5
4931 0 0 5
4932 0 0 5
4933 1 5 0
4934 1 4 1
4935 1 5 0
4936 1 5 0
4937 1 5 0
4938 0 1 4
4939 0 2 3
4940 1 5 0
4941 1 5 0
4942 0 1 5
4943 1 4 1
4944 1 5 0
4945 0 1 4
4946 0 2 3
4947 0 2 3
4948 1 5 0
4949 0 0 5
4950 0 0 5
4951 1 5 0
4952 1 6 0
4953 1 5 0
4954 0 2 3
4955 0 0 5
4956 1 6 0
4957 0 0 5
4958 0 0 6
4959 0 2 3
4960 1 5 0
4961 1 5 0
4962 1 5 0
4963 1 5 0
4964 1 6 0
4965 0 2 3
4966 1 5 0
4967 0 1 4
4968 0 0 5
4969 1 5 0
4970 1 4 1
4971 0 0 6
4972 0 1 4
4973 1 5 0
4974 0 1 5
4975 1 5 0
4976 0 0 5
4977 1 5 0
4978 0 2 3
4979 0 1 4
4980 0 0 5
4981 0 0 5
4982 1 5 0
4983 1 5 0
4984 1 6 0
4985 0 0 6
4986 0 1 4
4987 1 4 1
4988 1 5 0
4989 0 0 5
4990 1 5 0
4991 0 1 4
4992 1 5 0
4993 1 5 0
4994 0 0 5
4995 0 1 4
4996 0 0 5
4997 0 0 5
4998 1 5 0
4999 1 4 1
5000 0 1 4
5001 0 1 4
5002 1 5 0
5003 1 5 0
5004 0 1 4
5005 0 2 3
5006 1 5 0
5007 0 1 4
5008 1 5 0
5009 0 0 5
5010 1 5 0
5011 0 0 5
5012 0 1 4
5013 1 5 0
5014 1 5 0
5015 1 5 0
5016 0 0 5
5017 1 5 0
5018 0 1 4
5019 0 0 5
5020 1 5 0
5021 1 6 0
5022 1 5 0
5023 1 5 0
5024 1 5 0
5025 1 5 0
5026 1 5 0
5027 0 1 4
5028 1 5 0
5029 1 5 0
5030 0 0 5
5031 1 3 2
5032 0 0 5
5033 0 1 4
5034 1 5 0
5035 1 5 0
5036 1 5 0
5037 0 2 3
5038 0 2 3
5039 1 5 0
5040 1 5 0
5041 0 1 4
5042 0 0 5
5043 1 5 0
5044 1 5 0
5045 1 5 0
5046 1 3 2
5047 0 1 5
5048 1 5 0
5049 1 5 0
5050 0 2 3
5051 1 5 0
5052 1 5 0
5053 1 5 0
5054 1 5 0
5055 0 1 4
5056 0 0 5
5057 0 1 5
5058 0 2 3
5059 0 0 5
5060 0 2 3
5061 1 5 0
5062 1 5 0
5063 1 5 0
5064 1 4 1
5065 1 5 0
5066 1 3 2
5067 1 5 0
5068 1 5 0
5069 1 6 0
5070 1 6 0
5071 1 5 0
5072 1 5 0
5073 1 5 0
5074 1 5 0
5075 1 3 2
5076 0 0 5
5077 0 1 4
5078 1 5 0
5079 0 2 3
5080 0 2 3
5081 1 5 0
5082 1 5 0
5083 0 0 6
5084 0 0 5
5085 1 5 0
5086 0 0 5
5087 1 5 0
5088 0 2 3
5089 1 4 1
5090 0 1 4
5091 0 0 5
5092 0 1 4
5093 1 5 0
5094 1 3 2
5095 1 5 0
5096 1 5 0
5097 0 0 5
5098 1 5 0
5099 0 2 3
5100 1 5 0
5101 0 0 5
5102 1 5 0
5103 1 5 0
5104 1 3 2
5105 1 5 0
5106 1 5 0
5107 1 5 0
5108 1 5 0
5109 0 1 4
5110 0 0 5
5111 1 5 0
5112 1 5 0
5113 1 5 0
5114 1 5 0
5115 0 0 5
5116 1 5 0
5117 1 5 0
5118 1 5 0
5119 1 5 0
5120 0 0 5
5121 0 0 5
5122 1 5 0
5123 0 0 5
5124 1 5 0
5125 1 5 0
5126 1 5 0
5127 0 2 3
5128 0 0 5
5129 1 5 0
5130 1 5 0
5131 0 2 3
5132 0 0 4
5133 0 0 5
5134 1 5 0
5135 0 0 5
5136 1 6 0
5137 1 6 0
5138 1 5 0
5139 0 1 4
5140 1 4 1
5141 1 5 0
5142 1 5 0
5143 1 5 0
5144 1 5 0
5145 0 0 5
5146 1 5 0
5147 1 5 0
5148 1 3 2
5149 1 5 0
5150 1 6 0
5151 1 4 1
5152 1 5 0
5153 1 5 0
5154 0 0 5
5155 1 5 0
5156 0 1 4
5157 1 5 0
5158 0 0 5
5159 1 4 1
5160 1 5 0
5161 1 5 0
5162 1 5 0
5163 1 5 0
5164 0 2 3
5165 0 0 5
5166 1 5 0
5167 0 0 5
5168 1 5 0
5169 1 5 0
5170 1 5 0
5171 0 2 3
5172 0 0 5
5173 1 5 0
5174 1 4 2
5175 0 1 4
5176 1 3 2
5177 1 5 0
5178 0 1 4
5179 0 2 3
5180 1 5 0
5181 0 0 5
5182 1 5 0
5183 1 5 0
5184 1 5 0
5185 0 1 4
5186 1 5 0
5187 1 5 0
5188 1 5 0
5189 1 5 0
5190 0 2 3
5191 1 4 1
5192 0 1 4
5193 1 5 0
5194 1 5 0
5195 1 5 0
5196 0 1 4
5197 0 1 4
5198 0 1 4
5199 0 1 4
5200 1 5 0
5201 1 5 0
5202 1 5 0
5203 1 5 0
5204 1 5 0
5205 0 0 4
5206 1 5 0
5207 1 5 0
5208 1 5 0
5209 1 5 0
5210 1 5 0
5211 0 2 3
5212 1 5 0
5213 1 4 1
5214 0 0 5
5215 1 5 0
5216 1 5 0
5217 1 3 2
5218 0 0 5
5219 1 5 0
5220 0 0 5
5221 0 1 5
5222 1 4 0
5223 1 5 0
5224 0 0 5
5225 1 5 0
5226 1 4 1
5227 1 5 0
5228 1 3 2
5229 1 4 1
5230 1 5 0
5231 1 5 0
5232 1 4 1
5233 0 0 5
5234 1 5 0
5235 1 5 0
5236 1 5 0
5237 1 5 0
5238 0 0 5
5239 0 1 4
5240 1 5 0
5241 1 6 0
5242 1 5 0
5243 1 5 0
5244 0 1 4
5245 1 5 0
5246 1 5 0
5247 0 1 4
5248 1 5 0
5249 1 5 0
5250 1 5 0
5251 1 3 2
5252 0 0 5
5253 1 3 2
5254 1 5 0
5255 1 5 0
5256 0 0 5
5257 1 5 0
5258 1 5 0
5259 1 5 0
5260 1 3 2
5261 0 0 5
5262 0 1 4
5263 0 0 5
5264 1 5 0
5265 0 0 5
5266 0 2 3
5267 1 5 0
5268 1 6 0
5269 1 5 0
5270 1 6 0
5271 1 5 0
5272 1 3 2
5273 0 0 5
5274 1 5 0
5275 0 1 4
5276 1 4 1
5277 1 4 2
5278 0 1 4
5279 1 5 0
5280 1 5 0
5281 0 1 4
5282 1 5 0
5283 0 1 4
5284 1 5 0
5285 1 5 0
5286 0 1 4
5287 1 4 1
5288 0 0 5
5289 0 1 4
5290 1 5 0
5291 1 5 0
5292 1 5 0
5293 0 0 5
5294 0 2 3
5295 1 6 0
5296 1 5 0
5297 1 5 0
5298 0 0 5
5299 0 1 4
5300 1 5 0
5301 1 5 0
5302 1 5 0
5303 1 5 0
5304 0 2 3
5305 1 4 1
5306 1 5 0
5307 1 5 0
5308 1 5 0
5309 1 5 0
5310 1 5 0
5311 1 5 0
5312 0 1 4
5313 1 5 0
5314 1 5 0
5315 1 5 0
5316 0 0 5
5317 0 0 5
5318 1 5 0
5319 1 4 1
5320 0 2 4
5321 1 5 0
5322 1 6 0
5323 1 3 2
5324 1 5 0
5325 1 5 0
5326 1 5 0
5327 1 5 0
5328 0 0 5
5329 0 2 4
5330 1 5 0
5331 1 3 2
5332 1 5 0
5333 1 5 0
5334 1 4 1
5335 0 2 3
5336 1 3 2
5337 0 1 4
5338 1 5 0
5339 1 4 1
5340 1 3 2
5341 1 3 2
5342 0 0 5
5343 0 1 4
5344 1 5 0
5345 1 5 0
5346 0 0 5
5347 0 0 5
5348 0 0 5
5349 1 5 0
5350 0 0 5
5351 1 5 0
5352 1 5 0
5353 0 0 5
5354 1 5 0
5355 1 5 0
5356 0 2 3
5357 1 5 0
5358 1 5 0
5359 0 0 5
5360 1 5 0
5361 1 3 2
5362 1 3 2
5363 1 5 0
5364 0 0 5
5365 1 5 0
5366 1 5 0
5367 0 0 5
5368 1 5 0
5369 1 5 0
5370 1 5 0
5371 0 1 4
5372 0 2 4
5373 0 0 5
5374 1 5 0
5375 1 5 0
5376 1 6 0
5377 0 0 5
5378 1 5 0
5379 1 5 0
5380 0 1 4
5381 0 0 5
5382 1 5 0
5383 0 0 6
5384 1 6 0
5385 1 4 1
5386 0 0 6
5387 1 5 0
5388 0 1 4
5389 1 6 0
5390 1 5 0
5391 1 5 0
5392 1 5 0
5393 1 5 0
5394 0 0 5
5395 1 5 0
5396 1 5 0
5397 0 0 5
5398 1 6 0
5399 1 5 0
5400 0 1 4
5401 0 0 5
5402 1 5 0
5403 1 5 0
5404 1 5 0
5405 0 1 4
5406 1 3 2
5407 0 0 5
5408 1 5 0
5409 1 4 1
5410 0 0 5
5411 1 5 0
5412 0 1 5
5413 1 5 0
5414 0 1 4
5415 1 5 0
5416 0 2 3
5417 0 2 3
5418 1 5 0
5419 1 4 1
5420 0 1 4
5421 0 1 4
5422 1 5 0
5423 1 5 0
5424 0 1 4
5425 1 5 0
5426 1 5 0
5427 1 5 0
5428 0 0 5
5429 1 5 0
5430 1 5 0
5431 1 5 0
5432 1 5 0
5433 1 6 0
5434 0 2 3
5435 0 0 5
5436 1 5 0
5437 0 0 5
5438 0 0 5
5439 1 5 0
5440 1 5 0
5441 1 5 0
5442 1 5 0
5443 1 3 2
5444 1 3 2
5445 1 5 0
5446 1 5 0
5447 0 0 5
5448 1 5 0
5449 0 2 3
5450 1 3 2
5451 1 5 0
5452 1 5 0
5453 1 5 0
5454 1 5 0
5455 1 6 0
5456 1 5 0
5457 1 5 0
5458 0 0 5
5459 0 0 5
5460 0.5 3 3
5461 1 5 0
5462 1 6 0
5463 1 6 0
5464 0 2 3
5465 1 5 0
5466 1 5 0
5467 0 0 5
5468 0 1 4
5469 1 5 0
5470 1 5 0
5471 0 0 5
5472 0 0 5
5473 0 2 4
5474 0 1 4
5475 0 1 4
5476 1 5 0
5477 0 1 4
5478 0 1 4
5479 0 0 5
5480 0 0 5
5481 1 5 0
5482 1 5 0
5483 0 2 3
5484 1 5 0
5485 1 5 0
5486 0 1 4
5487 1 4 1
5488 1 5 0
5489 1 5 0
5490 0 0 5
5491 1 5 0
5492 1 5 0
5493 0 1 4
5494 1 5 0
5495 1 5 0
5496 1 5 0
5497 1 5 0
5498 1 5 0
5499 0 1 4
5500 1 5 0
5501 1 5 0
5502 0 1 4
5503 1 5 0
5504 1 5 0
5505 1 5 0
5506 1 5 0
5507 0 1 5
5508 1 5 0
5509 1 5 0
5510 0 2 3
5511 1 5 0
5512 1 5 0
5513 0 0 5
5514 0.5 3 3
5515 1 3 2
5516 0 0 5
5517 1 5 0
5518 1 5 0
5519 1 5 0
5520 0 2 3
5521 0 2 3
5522 1 5 0
5523 0 1 4
5524 0 0 5
5525 1 5 0
5526 0 2 3
5527 1 5 0
5528 1 5 0
5529 1 5 0
5530 1 3 2
5531 1 5 0
5532 0 0 5
5533 0 1 4
5534 0 1 4
5535 0 0 5
5536 0 0 5
5537 0 0 5
5538 1 5 0
5539 1 5 0
5540 1 5 0
5541 1 5 0
5542 1 6 0
5543 0 0 5
5544 0 1 4
5545 1 5 0
5546 0 0 5
5547 1 5 0
5548 1 5 0
5549 1 5 0
5550 1 3 2
5551 1 5 0
5552 0 1 4
5553 1 5 0
5554 1 5 0
5555 0 0 6
5556 1 5 0
5557 0 0 5
5558 0 0 5
5559 0 0 5
5560 1 5 0
5561 0 0 5
5562 1 5 0
5563 1 5 0
5564 0 0 5
5565 0 2 3
5566 1 5 0
5567 0 0 5
5568 0 0 5
5569 0 0 5
5570 1 3 2
5571 0 1 5
5572 0 0 5
5573 1 5 0
5574 1 5 0
5575 1 6 0
5576 0 0 4
5577 1 5 0
5578 1 5 0
5579 1 3 2
5580 1 5 0
5581 0 0 5
5582 1 5 0
5583 1 6 0
5584 0 2 3
5585 1 6 0
5586 1 5 0
5587 0 1 4
5588 1 3 2
5589 0 0 5
5590 1 5 0
5591 1 5 0
5592 0 0 5
5593 1 5 0
5594 1 5 0
5595 1 5 0
5596 1 5 0
5597 1 5 0
5598 1 5 0
5599 0 0 5
5600 1 5 0
5601 0 1 4
5602 1 5 0
5603 0 0 5
5604 1 5 0
5605 1 5 0
5606 1 5 0
5607 1 5 0
5608 1 3 2
5609 1 5 0
5610 1 5 0
5611 1 5 0
5612 1 5 0
5613 1 5 0
5614 0 0 5
5615 0 1 5
5616 1 5 0
5617 0 0 5
5618 1 5 0
5619 1 5 0
5620 1 6 0
5621 0 0 5
5622 1 5 0
5623 0 0 5
5624 1 5 0
5625 1 5 0
5626 0 0 5
5627 1 5 0
5628 1 5 0
5629 0 1 4
5630 1 5 0
5631 1 5 0
5632 1 5 0
5633 1 5 0
5634 0 2 3
5635 1 4 1
5636 1 5 0
5637 1 4 1
5638 1 5 0
5639 0 0 5
5640 1 3 2
5641 0 1 4
5642 0 1 4
5643 1 5 0
5644 0 0 5
5645 0 1 4
5646 1 5 0
5647 1 4 1
5648 1 5 0
5649 0 2 3
5650 0 1 4
5651 1 5 0
5652 1 5 0
5653 1 5 0
5654 1 5 0
5655 1 5 0
5656 1 5 0
5657 1 5 0
5658 0 2 3
5659 1 5 0
5660 0 0 5
5661 0 0 5
5662 1 6 0
5663 1 5 0
5664 0 2 3
5665 1 5 0
5666 1 5 0
5667 1 5 0
5668 1 5 0
5669 0 0 5
5670 1 6 0
5671 0 0 5
5672 1 5 0
5673 1 5 0
5674 0 1 4
5675 1 5 0
5676 0 1 4
5677 0 2 3
5678 1 5 0
5679 1 5 0
5680 1 5 0
5681 0 2 3
5682 0 1 5
5683 1 6 0
5684 1 5 0
5685 1 5 0
5686 1 5 0
5687 1 3 2
5688 1 4 1
5689 1 5 0
5690 1 5 0
5691 0 0 5
5692 1 5 0
5693 1 5 0
5694 0 1 4
5695 0 0 5
5696 0 1 4
5697 0 2 3
5698 0 0 5
5699 0 2 3
5700 0 1 4
5701 0 1 4
5702 1 5 0
5703 1 5 0
5704 0 1 4
5705 0 1 4
5706 1 3 2
5707 0 2 3
5708 1 4 1
5709 1 6 0
5710 0 0 5
5711 0 2 3
5712 0 1 4
5713 0 0 5
5714 0 0 5
5715 1 5 0
5716 1 5 0
5717 0 0 5
5718 1 5 0
5719 1 5 0
5720 0 1 4
5721 0 1 4
5722 0 0 4
5723 0 2 3
5724 1 5 0
5725 1 5 0
5726 0 2 3
5727 1 5 0
5728 1 5 0
5729 1 5 0
5730 1 5 0
5731 1 5 0
5732 1 5 0
5733 1 5 0
5734 0 2 3
5735 1 5 0
5736 0 0 5
5737 1 5 0
5738 1 5 0
5739 1 5 0
5740 1 3 2
5741 1 5 0
5742 1 6 0
5743 0 0 5
5744 0 1 4
5745 1 5 0
5746 0 0 5
5747 1 3 2
5748 1 5 0
5749 1 5 0
5750 1 5 0
5751 1 5 0
5752 0 0 5
5753 1 5 0
5754 0 0 5
5755 1 4 1
5756 1 5 0
5757 1 5 0
5758 1 5 0
5759 1 5 0
5760 1 6 0
5761 0 0 5
5762 0 0 6
5763 1 5 0
5764 0 1 4
5765 1 5 0
5766 1 5 0
5767 1 5 0
5768 1 5 0
5769 1 5 0
5770 0 0 5
5771 1 5 0
5772 1 5 0
5773 1 4 1
5774 1 5 0
5775 1 5 0
5776 1 5 0
5777 0 0 5
5778 1 5 0
5779 1 4 1
5780 1 5 0
5781 1 5 0
5782 1 5 0
5783 1 3 2
5784 0.5 2 2
5785 0 0 5
5786 0 0 5
5787 0 2 3
5788 1 5 0
5789 1 5 0
5790 1 5 0
5791 1 5 0
5792 1 5 0
5793 1 4 1
5794 0 0 5
5795 1 5 0
5796 1 5 0
5797 0 1 4
5798 1 5 0
5799 0 0 5
5800 1 5 0
5801 0 0 6
5802 1 5 0
5803 0 2 5
5804 1 5 0
5805 0 0 5
5806 1 5 0
5807 0 0 6
5808 1 5 0
5809 0 0 5
5810 0 0 5
5811 1 5 0
5812 0 1 4
5813 1 5 0
5814 0 2 3
5815 1 5 0
5816 0 2 3
5817 0 0 5
5818 1 7 0
5819 0 0 5
5820 1 3 2
5821 1 6 0
5822 1 5 0
5823 0 0 5
5824 1 5 0
5825 1 5 0
5826 1 5 0
5827 0 0 5
5828 0 0 5
5829 0 0 5
5830 1 3 2
5831 1 5 0
5832 0 0 5
5833 1 5 0
5834 1 5 0
5835 0 0 5
5836 1 6 0
5837 0 0 7
5838 0 0 5
5839 1 5 0
5840 1 5 0
5841 0 2 3
5842 1 3 2
5843 0 0 5
5844 1 3 2
5845 0 2 3
5846 1 5 0
5847 0 0 5
5848 1 5 0
5849 1 5 0
5850 1 5 0
5851 1 4 1
5852 1 5 0
5853 1 6 0
5854 0 0 5
5855 1 5 0
5856 1 5 0
5857 0 1 4
5858 0 2 3
5859 1 5 0
5860 1 5 0
5861 1 5 0
5862 0 0 5
5863 0 1 4
5864 0 2 3
5865 0 0 5
5866 1 5 0
5867 0 1 4
5868 0 0 5
5869 1 4 1
5870 1 6 0
5871 0 0 5
5872 0 1 4
5873 0 2 3
5874 1 4 1
5875 1 5 0
5876 1 5 0
5877 1 5 0
5878 1 5 0
5879 1 5 0
5880 1 5 0
5881 1 3 2
5882 1 5 0
5883 1 5 0
5884 0 0 3
5885 1 4 1
5886 0 0 5
5887 1 5 0
5888 0 0 5
5889 1 5 0
5890 1 3 2
5891 1 4 1
5892 1 5 0
5893 0 0 5
5894 0 0 5
5895 0 0 5
5896 0 1 4
5897 1 5 0
5898 1 5 0
5899 1 5 0
5900 0 2 3
5901 1 5 0
5902 1 5 0
5903 0 0 5
5904 0 0 5
5905 1 5 0
5906 0 1 4
5907 1 5 0
5908 1 5 0
5909 0 0 5
5910 1 5 0
5911 0 0 5
5912 0 1 4
5913 1 5 0
5914 1 4 0
5915 0 0 5
5916 1 5 0
5917 0 0 5
5918 0 0 5
5919 1 5 0
5920 1 5 0
5921 1 5 0
5922 1 5 0
5923 1 3 2
5924 1 5 0
5925 1 5 0
5926 1 5 0
5927 0 1 4
5928 0 2 3
5929 1 5 0
5930 1 5 0
5931 1 5 0
5932 0 1 4
5933 1 5 0
5934 0 0 5
5935 0 1 4
5936 1 4 1
5937 1 5 0
5938 0 0 5
5939 1 5 0
5940 1 6 0
5941 1 4 1
5942 0 1 4
5943 0 0 5
5944 0 0 5
5945 1 3 2
5946 1 5 0
5947 1 5 0
5948 1 5 0
5949 1 5 0
5950 1 5 0
5951 0 0 5
5952 1 5 0
5953 1 5 0
5954 0 1 4
5955 1 4 1
5956 1 5 0
5957 0 1 4
5958 1 5 0
5959 1 5 0
5960 1 5 0
5961 0 0 5
5962 1 5 0
5963 0 1 4
5964 1 5 0
5965 1 5 0
5966 1 4 1
5967 1 4 1
5968 1 3 2
5969 0 1 4
5970 1 5 0
5971 1 5 0
5972 0 1 4
5973 1 5 0
5974 0 0 5
5975 1 5 0
5976 0 0 5
5977 1 5 0
5978 0 0 5
5979 0 2 3
5980 1 5 0
5981 1 5 0
5982 0 0 5
5983 1 5 0
5984 1 5 0
5985 1 3 2
5986 0 0 5
5987 1 5 0
5988 1 5 0
5989 1 5 0
5990 0 0 3
5991 0 1 4
5992 0 0 5
5993 1 5 0
5994 1 6 0
5995 1 5 0
5996 0 0 5
5997 1 3 2
5998 1 5 0
5999 0 0 5
6000 0 0 5
6001 0 1 5
6002 1 5 0
6003 0 0 5
6004 1 5 0
6005 1 5 0
6006 1 5 0
6007 1 5 0
6008 1 4 1
6009 1 5 0
6010 1 5 1
6011 0 2 3
6012 1 5 0
6013 1 5 1
6014 1 5 0
6015 1 6 0
6016 0 0 5
6017 1 5 0
6018 0 2 3
6019 0 0 5
6020 1 5 0
6021 1 5 0
6022 1 5 0
6023 1 5 0
6024 1 5 0
6025 0 0 5
6026 1 5 0
6027 1 7 0
6028 1 5 0
6029 1 5 0
6030 0 0 5
6031 1 3 2
6032 1 5 0
6033 1 5 0
6034 1 5 0
6035 0 0 5
6036 0 0 5
6037 1 5 0
6038 1 5 0
6039 1 5 0
6040 1 5 0
6041 1 5 0
6042 0 0 5
6043 0 2 3
6044 1 5 0
6045 1 5 0
6046 0 0 5
6047 1 5 0
6048 1 3 2
6049 1 4 1
6050 1 3 2
6051 1 5 0
6052 1 3 2
6053 1 5 0
6054 0 0 5
6055 0 1 4
6056 1 5 0
6057 1 5 0
6058 1 5 0
6059 1 6 0
6060 1 5 0
6061 0 2 3
6062 1 5 0
6063 1 5 0
6064 1 4 1
6065 0 2 3
6066 0 0 5
6067 1 4 1
6068 0 1 4
6069 1 5 0
6070 1 5 0
6071 0 0 5
6072 1 5 0
6073 0 1 4
6074 1 4 1
6075 1 5 0
6076 1 5 0
6077 0 1 4
6078 1 5 0
6079 1 3 2
6080 1 5 0
6081 1 5 0
6082 0 0 5
6083 1 5 0
6084 1 5 0
6085 0 0 5
6086 1 4 1
6087 0 1 4
6088 1 5 0
6089 1 6 0
6090 1 3 2
6091 0 0 5
6092 1 5 0
6093 1 5 0
6094 1 5 0
6095 1 5 0
6096 1 5 0
6097 0 0 5
6098 0 0 5
6099 1 5 0
6100 1 5 0
6101 0 2 3
6102 1 5 0
6103 1 4 1
6104 1 5 0
6105 1 4 1
6106 1 5 0
6107 1 5 0
6108 1 5 0
6109 1 5 0
6110 0 0 5
6111 1 5 0
6112 1 5 0
6113 1 5 0
6114 0 1 4
6115 0 0 5
6116 1 5 0
6117 0 0 5
6118 1 5 0
6119 1 5 0
6120 0 0 5
6121 1 5 1
6122 0 2 3
6123 1 5 0
6124 0 0 5
6125 0 1 4
6126 1 5 0
6127 1 4 1
6128 1 5 0
6129 0 0 5
6130 0 0 5
6131 0 0 5
6132 0 1 4
6133 0 2 3
6134 1 5 0
6135 0 1 4
6136 0 0 5
6137 1 5 0
6138 1 5 0
6139 1 5 0
6140 0 0 5
6141 1 3 2
6142 1 5 1
6143 1 5 0
6144 0 1 5
6145 0 0 5
6146 1 4 1
6147 0 0 5
6148 1 4 2
6149 0 0 6
6150 1 5 0
6151 0 0 5
6152 1 5 0
6153 1 5 0
6154 1 5 0
6155 0 0 5
6156 0 1 4
6157 0 0 5
6158 0 0 5
6159 1 5 0
6160 1 6 0
6161 1 5 0
6162 0 2 3
6163 1 5 0
6164 0 0 5
6165 0 1 5
6166 1 5 0
6167 1 5 0
6168 1 5 0
6169 1 6 0
6170 1 5 0
6171 0 1 4
6172 1 3 2
6173 1 5 0
6174 0 0 5
6175 1 5 0
6176 1 5 0
6177 0 1 4
6178 0 1 5
6179 1 3 2
6180 0 0 5
6181 1 5 0
6182 1 6 0
6183 0 0 5
6184 1 6 0
6185 1 5 0
6186 1 5 0
6187 1 5 0
6188 0 0 5
6189 1 5 0
6190 0 0 5
6191 1 5 0
6192 1 5 0
6193 1 5 0
6194 1 3 2
6195 1 5 0
6196 0 0 6
6197 1 5 0
6198 0 0 5
6199 1 5 0
6200 0 0 6
6201 0 2 3
6202 1 4 1
6203 1 5 0
6204 1 5 0
6205 1 4 1
6206 1 5 0
6207 1 5 0
6208 1 5 0
6209 1 5 0
6210 0 1 4
6211 1 5 0
6212 0 0 5
6213 1 6 0
6214 0 0 5
6215 0 0 5
6216 1 5 0
6217 1 5 0
6218 1 5 0
6219 1 6 0
6220 1 5 0
6221 1 5 0
6222 1 5 0
6223 0 2 3
6224 0 0 5
6225 1 5 0
6226 1 3 2
6227 0 1 5
6228 1 4 1
6229 1 5 0
6230 0 0 6
6231 1 4 2
6232 1 6 0
6233 1 5 0
6234 1 5 0
6235 1 5 0
6236 1 5 0
6237 0 1 4
6238 0 2 3
6239 0 2 3
6240 1 3 2
6241 0 0 5
6242 1 5 0
6243 0 1 4
6244 1 5 0
6245 0 1 4
6246 1 5 0
6247 0 1 4
